===== Skyline Algorithm Result =====
Container Width: 2048
Minimum Height: 1744
Item Placement:
Item 1: (original w=256, h=1024) → placed at (x=0, y=0), rotated=No
Item 2: (original w=512, h=128) → placed at (x=256, y=0), rotated=No
Item 3: (original w=1024, h=64) → placed at (x=0, y=1024), rotated=No
Item 4: (original w=64, h=512) → placed at (x=256, y=128), rotated=No
Item 5: (original w=256, h=128) → placed at (x=0, y=1088), rotated=No
Item 6: (original w=256, h=128) → placed at (x=256, y=640), rotated=No
Item 7: (original w=256, h=128) → placed at (x=0, y=1216), rotated=No
Item 8: (original w=128, h=64) → placed at (x=256, y=768), rotated=No
Item 9: (original w=64, h=64) → placed at (x=0, y=1344), rotated=No
Item 10: (original w=8, h=256) → placed at (x=256, y=832), rotated=Yes
Item 11: (original w=8, h=256) → placed at (x=0, y=1408), rotated=No
Item 12: (original w=64, h=16) → placed at (x=256, y=840), rotated=No
Item 13: (original w=32, h=32) → placed at (x=0, y=1664), rotated=No
Item 14: (original w=8, h=128) → placed at (x=256, y=856), rotated=No
Item 15: (original w=16, h=32) → placed at (x=0, y=1696), rotated=No
Item 16: (original w=16, h=32) → placed at (x=256, y=984), rotated=No
Item 17: (original w=16, h=8) → placed at (x=0, y=1728), rotated=No
Item 18: (original w=16, h=8) → placed at (x=256, y=1016), rotated=No
Item 19: (original w=16, h=8) → placed at (x=0, y=1736), rotated=No
Item 20: (original w=8, h=8) → placed at (x=272, y=984), rotated=No
